path,type,rollover,accident_time,accident_frame,center_x,center_y,x1,y1,x2,y2,region,scene_layout,weather,day_time,quality,no_frames,duration,height,width,split_in_distribution,split_geo_aware
real_videos/KPyyCBJKS98_00.mp4,t-bone,0,18.552,184,0.5244264850531779,0.5129520663137218,0.4324406874805719,0.4068433179628292,0.6164122826257838,0.6190608146646144,World,city_street,normal,day,Excellent,257,25.959,1080,1920,test,train
real_videos/YrKYYuQHW9M_00.mp4,sideswipe,0,10.333333,291,0.5533234988788469,0.410799966081584,0.4526979432832935,0.2441987850593924,0.6539490544744002,0.5774011471037755,Seattle,signalized_intersection,normal,day,Excellent,880,30.0,720,1280,test,test
real_videos/BLq2n48HYZc_00.mp4,rear-end,0,19.033,317,0.4454826747073097,0.4052448179679914,0.3800231016982827,0.3360808234881781,0.5109422477163367,0.4744088124478047,World,city_street,normal,day,Excellent,413,29.9,720,1264,test,train
real_videos/Hjax6nMPd6Q_00.mp4,head-on,0,20.52,501,0.4205688719220096,0.6069470124565846,0.3037266800371068,0.2147340438009501,0.5374110638069125,0.999159981112219,World,city_street,normal,day,Excellent,737,29.96,1080,1920,test,train
real_videos/MTxBv0i8B8w_00.mp4,t-bone,1,7.583333,115,0.3177965959014853,0.7129623545777155,0.1960101829832297,0.5466411591189079,0.4395830088197409,0.8792835500365231,Georgia,signalized_intersection,normal,day,Excellent,431,29.958333,720,1280,test,test
real_videos/N6zJ2inqJn0_0_00.mp4,t-bone,0,6.740067,168,0.5402427191157836,0.5021142526954127,0.4568871527463002,0.4293753141130528,0.623598285485267,0.5748531912777725,World,simple_intersection,normal,day,Excellent,299,11.978633,720,1280,train,train
real_videos/LCkt9L0JnXU_00.mp4,t-bone,1,10.708,159,0.431900015444085,0.6065840490462455,0.3485894880105334,0.5048782472397559,0.5152105428776366,0.7082898508527352,Seattle,signalized_intersection,normal,day,Excellent,448,29.958,720,1280,test,test
real_videos/jndtah0zyZ4_00.mp4,sideswipe,0,24.333333,612,0.4791619307300346,0.1583537751079448,0.4352904210026541,0.0946591426091387,0.5230334404574151,0.222048407606751,Seattle,signalized_intersection,normal,day,Excellent,763,29.962963,720,1280,test,test
real_videos/Xu1KsH1j2iQ_11_00.mp4,single,0,6.5065,130,0.3814562616476267,0.3483656563874993,0.2681032177719089,0.1246524615373068,0.4948093055233445,0.5720788512376919,World,city_street,normal,day,Excellent,354,17.650967,720,960,train,train
real_videos/J4QZ5vJy-3E_00.mp4,head-on,0,6.0,90,0.5366917400577601,0.3742309033388332,0.3392848381109014,0.2568093593313943,0.7340986420046188,0.491652447346272,Georgia,signalized_intersection,normal,day,Excellent,297,29.416666,720,1280,test,test
real_videos/JEv4-TJDQlQ_00.mp4,rear-end,0,9.65,144,0.552774016199862,0.4313460153182206,0.4060620905116138,0.2585228806995746,0.6994859418881102,0.6041691499368667,Seattle,signalized_intersection,normal,day,Excellent,383,25.517,2160,3840,test,test
real_videos/7FzkwCUqP1Y_00.mp4,t-bone,0,6.233,165,0.6366519521203011,0.4162070016122178,0.5994655312694229,0.3851324674046764,0.6738383729711793,0.4472815358197592,Minnesota,simple_intersection,normal,day,Fine,852,29.567,1080,2400,test,test
real_videos/3dL7_KqiBoo_00.mp4,head-on,0,6.200000000000001,186,0.472315868548254,0.1562680083648089,0.4451947606005464,0.1406064294350045,0.4994369764959616,0.1719295872946133,Seattle,signalized_intersection,normal,day,Fine,817,27.233,1080,1920,test,test
real_videos/X0xzhXbBngE_00.mp4,t-bone,0,8.708,130,0.6094700431061073,0.319363139710355,0.5295429538960308,0.2554483327496697,0.6893971323161837,0.3832779466710403,Virginia,signalized_intersection,normal,day,Fine,449,30.0,720,960,test,test
real_videos/O0v2MBUkTGk_00.mp4,head-on,0,6.6066,160,0.7509124648010627,0.4679221048731152,0.7045154921220852,0.3979965836210172,0.7973094374800401,0.5378476261252133,World,simple_intersection,normal,day,Fine,206,8.274933,720,1280,test,train
real_videos/n_U9loEcX54_00.mp4,sideswipe,0,11.2,335,0.2435256753226584,0.2407726557677338,0.2238354664648543,0.2228859246085663,0.2632158841804625,0.2586593869269014,Seattle,signalized_intersection,normal,day,Fine,419,14.0,720,1280,test,test
real_videos/S7Wa2Cag7ik_00.mp4,single,0,6.042,90,0.6402763492973578,0.4355294198013414,0.6096273398537017,0.4193187960069929,0.670925358741014,0.4517400435956898,Seattle,signalized_intersection,normal,day,Fine,449,29.958,720,1080,test,test
real_videos/NdXcu0X1nH8_00.mp4,head-on,0,9.292,183,0.1550291533210689,0.7233484463446904,0.103245808549758,0.54174841993184,0.2068124980923798,0.904948472757541,Seattle,signalized_intersection,normal,day,Fine,566,29.958,720,1280,test,test
real_videos/ozCjkCKp6DQ_00.mp4,t-bone,1,7.133,63,0.5826379018257866,0.5031686286456791,0.5159931991098052,0.4755622989526463,0.6492826045417679,0.5307749583387119,Iowa,simple_intersection,normal,day,Fine,212,24.3,1080,1440,test,test
real_videos/hyZ-ZbPYabo_00.mp4,rear-end,1,7.208,107,0.4082861396621005,0.5844199655933927,0.3768256963133587,0.5493768677862455,0.4397465830108422,0.6194630634005399,New_York,signalized_intersection,normal,day,Fine,445,29.958,720,966,test,test
real_videos/xpVTZU4KeZA_00.mp4,t-bone,0,6.958,104,0.8152205073032588,0.6184067078192179,0.6595582762254101,0.5251023712779089,0.9708827383811076,0.711711044360527,Virginia,signalized_intersection,normal,day,Fine,330,22.0,720,960,test,test
real_videos/urdxgkwYUqM_00.mp4,sideswipe,0,7.1,106,0.3851161647392881,0.5261154174744955,0.3396709871943066,0.4846357737355267,0.4305613422842695,0.5675950612134644,Seattle,signalized_intersection,normal,day,Fine,455,29.967,1080,1620,test,test
real_videos/UntkxMpwFSY_00.mp4,head-on,0,6.4,192,0.0757962345349009,0.7845749440520093,0.0253607288245087,0.6782248609421727,0.1262317402452931,0.8909250271618459,Florida,signalized_intersection,normal,day,Fine,854,29.967,720,1280,test,test
real_videos/RK-Btjd1oXs_00.mp4,single,0,10.267,153,0.4842500506566435,0.1747702734976108,0.457821614996157,0.1475296085719756,0.5106784863171301,0.202010938423246,Wisconsin,signalized_intersection,normal,day,Fine,449,30.1,1080,1584,test,test
real_videos/k-LD0H31Rug_00.mp4,t-bone,0,8.033,120,0.742368926636558,0.3444591895770515,0.6652700785449529,0.3052693334774928,0.819467774728163,0.3836490456766103,Wisconsin,signalized_intersection,normal,day,Fine,368,25.3,1080,1920,test,test
real_videos/xDbMZ8L-1OY_00.mp4,t-bone,0,14.433,432,0.8219697634913665,0.3245966019498234,0.7348597858270327,0.2559040806592562,0.9090797411557004,0.3932891232403905,Wisconsin,signalized_intersection,snow,day,Fine,898,29.967,1080,1920,test,test
real_videos/DNXPVeHVfik_00.mp4,t-bone,0,6.333,94,0.4319137481095604,0.5592090285443152,0.3262485535099364,0.4548981449529655,0.5375789427091845,0.663519912135665,Wisconsin,signalized_intersection,snow,day,Fine,387,30.0,1080,1584,test,test
