path,annotations_path,type,accident_time,accident_frame,center_x,center_y,x1,y1,x2,y2,map,weather,camera_position,no_frames,duration,height,width,annotations_start_offset
synthetic_videos/videos/head-on/Town05_head-on_sunset_09.mp4,synthetic_videos/annotations/Town05_head-on_sunset_09.json.gz,head-on,6.0,120,0.57109375,0.4930555555555556,0.51875,0.4333333333333333,0.6234375,0.5527777777777778,Town05,sunset,9,355,17.75,1080,1920,80
synthetic_videos/videos/head-on/Town05_head-on_sunset_48.mp4,synthetic_videos/annotations/Town05_head-on_sunset_48.json.gz,head-on,7.7,154,0.55390625,0.3634259259259259,0.5026041666666666,0.3444444444444444,0.6052083333333333,0.3824074074074074,Town05,sunset,48,404,20.2,1080,1920,46
synthetic_videos/videos/head-on/Town06_head-on_sunset_37.mp4,synthetic_videos/annotations/Town06_head-on_sunset_37.json.gz,head-on,6.85,137,0.4559895833333333,0.3819444444444444,0.4385416666666666,0.3416666666666667,0.4734375,0.4222222222222222,Town06,sunset,37,243,12.15,1080,1920,199
synthetic_videos/videos/head-on/Town06_head-on_sunset_09.mp4,synthetic_videos/annotations/Town06_head-on_sunset_09.json.gz,head-on,11.7,234,0.5557291666666667,0.2847222222222222,0.5296875,0.2064814814814815,0.5817708333333333,0.362962962962963,Town06,sunset,9,332,16.6,1080,1920,108
synthetic_videos/videos/head-on/Town06_head-on_sunset_18.mp4,synthetic_videos/annotations/Town06_head-on_sunset_18.json.gz,head-on,12.7,254,0.4130208333333333,0.5194444444444445,0.3703125,0.487037037037037,0.4557291666666667,0.5518518518518518,Town06,sunset,18,342,17.1,1080,1920,65
synthetic_videos/videos/head-on/Town06_head-on_sunset_19.mp4,synthetic_videos/annotations/Town06_head-on_sunset_19.json.gz,head-on,7.5,150,0.26328125,0.3666666666666666,0.2135416666666666,0.3333333333333333,0.3130208333333333,0.4,Town06,sunset,19,275,13.75,1080,1920,123
synthetic_videos/videos/head-on/Town05_head-on_clear_01.mp4,synthetic_videos/annotations/Town05_head-on_clear_01.json.gz,head-on,7.2,144,0.2776041666666666,0.8893518518518518,0.2036458333333333,0.7796296296296297,0.3515625,0.999074074074074,Town05,clear,1,489,24.45,1080,1920,36
synthetic_videos/videos/head-on/Town06_head-on_clear_03.mp4,synthetic_videos/annotations/Town06_head-on_clear_03.json.gz,head-on,11.35,227,0.4385416666666666,0.3152777777777777,0.3979166666666666,0.287962962962963,0.4791666666666667,0.3425925925925926,Town06,clear,3,319,15.95,1080,1920,98
synthetic_videos/videos/head-on/Town06_head-on_clear_20.mp4,synthetic_videos/annotations/Town06_head-on_clear_20.json.gz,head-on,12.1,242,0.4348958333333333,0.5962962962962963,0.3859375,0.5444444444444444,0.4838541666666666,0.6481481481481481,Town06,clear,20,388,19.4,1080,1920,69
synthetic_videos/videos/head-on/Town05_head-on_clear_28.mp4,synthetic_videos/annotations/Town05_head-on_clear_28.json.gz,head-on,7.0,140,0.3010416666666666,0.3902777777777778,0.2140625,0.3157407407407407,0.3880208333333333,0.4648148148148148,Town05,clear,28,408,20.4,1080,1920,34
